开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
dudek kvar	廿四，二十四
dudek kvin	廿五，二十五
dudek kvin minutoj	二十五分钟
dudek mil	两万
dudek miliono	两千万
dudek minutoj	二十分钟
dudek naŭ	廿九，二十九
dudek ok	廿八，二十八
dudek sep	二十七，廿七
dudek ses	廿六，二十六
dudek tri	二十三，廿三
dudek unu	二十一，廿一
dudeka	第二十
dufoje	两次
duiliono	万亿，一兆，兆，一万亿
dujara	二年生
dujara herbo	二年生草本
dukapa muskolo	二头肌
dum	期间，时
dunaskitoj	双胞胎
dunganto	僱主
dungi	雇用，雇，聘请
dungito	雇员，员工
duoble	两倍
duodeno	十二指肠
duonhoro	半个钟头，半个小时
duonkondukanto	半导体
duono	一半，二分之一，半
duonvivo	半衰期
duonvokalo	半元音
duŝi sin	洗澡
ebena	平坦
ebenaĵo	平原，草原
eble	也不一定，不一定，可能，也许
ebleco	可能性
ebonarbo	乌木，黑檀木，黑檀树，黑檀木树，乌木树
ebono	乌木树，黑檀木树，黑檀木，乌木，黑檀树
ebria	喝醉了，醉了
ebrii	醉
ebriiĝi	喝醉
ebriulo	醉鬼
eburo	象牙
eĉ	连，尚且，尚，连…都
eĉ ne	都不
eĉ ne...	连…都不
eĉ pli	更
eĉ se	即使
eco	性质
Edipo	俄狄浦斯
eduko	教育
edzeco	婚姻
edziĝi	结婚
edziĝi kun...	跟…结婚
edziĝo	婚礼
edziniĝi	结婚
edziniĝo	婚礼
efektive	其实
efikeco	效率
efiko	作用，效果
egala	平等
ege	非常，要命
egoisma	自私
egoista	自大
eĥino	海胆
eĥo	回声
ejnŝtejnio	锿
ejo	地方
ekde	自从
ekinacfloro	紫锥花，锥光菊，紫锥菊，锥菊
ekinaco	锥菊，紫锥花，锥光菊，紫锥菊
ekipaĵo	设备
ekkuŝi	躺下
ekonomio	经济，经
ekrano	萤幕，屏幕
ekscita	刺激
ekscitita	兴奋
eksedziĝi	离婚
eksedziĝo	离婚
eksedziniĝi	离婚
ekskuzi sin	道歉
eksmoda	过时
eksperimento	试验
eksperto	专家
ekspliki	解释
eksplodi	爆炸
ekspozicio	博览会，展览会
ekstere	外面
eksterlanda	外国
eksterlandano	外国人
eksterna orela kanalo	外耳道
ekstra	额外
ekstrema	极端
ekstreme	非常
ekvilibro	平衡
ekvojaĝi	出发
ekzemple	譬如
ekzemplo	例子
ekzerckajero	练习簿
ekzisti	有，存在
el	出
eldonejo	出版社
eldoni	出版
eldono	版本
eleagno	茶枣花
eleagnofloro	茶枣花
elefanta dentego	象牙
elefanta ŝako	象棋
elefanto	大象，象，象
elekti	选择
elekto	选择
elektra	电
elektra butono	电钮
elektra cirkvito	电子线路，电路
elektra izolilo	电绝缘体
elektra kampo	电场
elektra kurento	电流
elektra rezistanco	电阻
elektra ŝargo	电荷
elektra seĝo	电椅
elektra sonorilo	电铃
elektra ventumilo	电扇
elektristo	电工
elektro	电，电力
elektromagneta kampo	电磁场
elektronika	电子
elektrono	电子
elementa lernejo	小学
elemento	元素
elfaro	成就
elirejo	出口
eliri	出去，出发，出
ellerni	掌握
ellitiĝi	起床
elmigri	移民
elparolado	发音
elparoli	发音
elparoligi	说出
elparolo	发音
elpenso	观念
elporti	忍受
elsaluti	登出
elsendi	广播
elspezi	花费，花
elspezo	收支
elspiri	吐气
elŝuti	下载，下
eltrovi	发明
eltrovo	发明
eluzi	用尽，耗尽，用完
eluziĝi	磨损，耗损，消耗
eluzita	磨损了的，消耗了的
elveni	出来
elverŝi	倒出
emajlo	珐琅，琅，珐琅质，珐
embarasa	尴尬
embarasita	尴尬
embria histo	胚胎组织
embria trunka ĉelo	胚胎干细胞
embrio	胚胎
emeritiĝi	退休
emfazi	强调
emi	趋向于
emo	趋势，趋向
en	在，入
en ĉiu okazo	不管怎样，无论如何
en la okazo se	万一，如果是那样的话
enciklopedio	百科
endokrina sistemo	内分泌系统
energio	能量
enhavebleco	容量
enhavo	内容
enirejo	入口
eniri	入
enkadrigi	框起来
enketo	调查
enklasigi	归类
enlitiĝi	上床
enmigri	移民
enmiksiĝi en	干涉
enmiksiĝo	干扰
enoterfloro meza	待宵草，月见草
enotero meza	月见草，待宵草
enregistri	注册
ensaluti	登入
enskribi	注册
enŝlosi	上锁
enspezo	收入
enspiri	吸入
entenaĵo	内容
entreprenisto	企业家
entuziasma	热情
enveni	进来
enverŝi	倒进，倒入
enviciĝi	排队
envii	羡慕
enzimo	酵素
epigloto	会厌软骨，会咽，会咽软骨，会厌
epoko	时代
erao	纪元
erari	犯错
eraro	误，错，错误
erbio	铒
erikfloro	石南花
eriko	石南花
erinaco	猬，刺猬
eritrocito	红细胞，红血球
ero	屑，粒，小组件
escepto	例外
eskalatoro	自动扶梯
eskapi	逃脱
Esperanto	世界语
esperi	希望
esprimi	表达
esprimo	术语，说法
esti	有
esti hejme	在家
esti miskomprenata	被误解
esti nur	只是
estontaj generacioj	后代
estonteco	未来
estonto	未来
estro	领袖
etendi	膨胀
eterne	永远
etfingro	小指
etikedo	标签
eŭkaliptarbo	桉树，桉
eŭkalipto	桉树，桉
eŭkarioto	真核生物
eŭro	欧元
Eŭropa Liberala Demokrata Partio	欧洲自由民主与改革党
Eŭropa Parlamento	欧洲议会
Eŭropa Popolpartio	欧洲人民党
Eŭropa Unio	欧洲联盟，欧盟
Eŭropaj Demokratoj	欧洲民主党
eŭropio	铕
evidenta	明显
eviti	逃避
evolui	发展
evoluigi	发展
evoluigita	发达
evoluo	进化
ezofago	食道
fabelo	童话故事，童话
fabo	蚕豆
fabrikejo	工厂
facila	易，不难，容易
facile	轻易
facilrompa	脆弱
fagarbo	山毛榉，山毛榉树
fago	山毛榉，山毛榉树
fajlilo	锉刀
fajraĵo	烟火
fajrejo	灶台，炉边
fajrero	火花，火星
fajrilo	打火机
fajro	火
fajropoto	火锅
Fajrostelo	火星
fako	科目
fakte	其实
fakto	事实
fakulo	专家
falango	指骨
faldi	折叠
falfolia	落叶
falfolia arbo	落叶树
fali	落，掉了
fali suben	落下来
falko	鹰，隼，雕
falŝa akaciarbo	洋槐树，刺槐，刺槐树
falŝa akacio	刺槐树，洋槐树，刺槐
fama	著名，有名，闻名
familia nomo	姓，姓氏，氏
familio	家人
famo	名
