开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
malriĉa	贫穷
malŝalti lampon	关灯，关电灯
malsama	不同，不一样
malsamo	差别
malsana	病
malsaniĝi	生病
malsano	疾，疾病，病
malsanulejo	医院
malsanulo	病人
malŝarĝi	卸载，卸下
malsata	肚子饿
malsatega	饥饿
malsatego	饥荒
malscio	无知
malseka	湿
malseketaĵo	水分
malsimpla	复杂
malŝlosi	开锁，开启
malŝminki	卸妆
malsovaĝa	温驯
malŝpari	浪费
malŝpari la tempon	浪费时间
malŝpari tempon	浪费时间
malŝparita	白费的，浪费的
malŝparo	浪费
malstreĉi	放宽
malstreĉiĝa	轻松，松
malstreĉiĝi	放轻松，放松
malstreĉita	松，轻松
malstrikta	松
malsukcesi	失败
malsupre	下面，楼下
malsuprensalti	跳下
maltrafi	错过
maltrankvila	紧张，担心
malvarma	冷，寒冷
malvarmega	寒冷
malvarmumo	感冒
malvenko	挫败，失败，败北
mambesto	哺乳动物，哺乳动物
mamo	乳，奶，乳房
mandarena	国语，官话，华语，北京话，普通话
mandiblo	颌骨，下颌，下颚，颌，颚骨，颚
mandragoro	曼陀罗草
manĝaĵo	食物
mangano	锰
mangarbo	芒果树
manĝfingro	食指
manĝi	吃
manĝo	饭
manĝokarto	菜单
mangrovo	红树林，红树
maniero	方式，方法
maniso	穿山甲
mankateno	手铐，铐
manki	欠缺，缺少
manksako	手提袋
manlaboro	劳动
manlibro	手册
mano	手
manplato	掌，手掌
manpremi	握手
manpremo	握手
mansaketo	手提袋
manto	螳螂，螳
mantuko	毛巾，手巾
maorio	毛利人
mar erinaco	海胆
mar-lutro	海獭
mararmeo	海军
marbordo	海边，海岸
mardo	星期二，礼拜二，二，周二
marfundo	海底
marioneto	木偶
maristo	水手
marleono	海狮
maro	海洋
marondo	海浪
Marso	火星，玛尔斯
Marso I	火卫一
marstelo	海星
martelo	铁锤
martestudo	海龟
marto	三月
masaĝi	按摩
maŝino	机器
maso	质量
masonisto	石匠
mastro	主人，主
matematiko	数学
matenmanĝi	吃早餐
matenmanĝo	早餐，噪音
mateno	早上，上午
materio	物质
matraco	床垫
matura	成熟，熟
meblaro	家具
mebloj	家具
meduzo	水母
mefito	臭鼬鼠
Mekao	麦加
meleagro	火鸡
melo	狗獾，貛
melodio	旋律，调子
membro	肢
membro de la korpo	肢
membroj	四肢
membroj de la korpo	四肢
memfida	有信心，有自信
memoraĵo	纪念品
memori	记住，记得，记
memorigi	提醒，纪念
memoro	记忆
mencii	提到，提
mendelevio	钔
menso	心，头脑，思想
mensogi	撒谎，说大话，骗人，说谎
mensogi al	骗
mensogisto	骗子
mensogo	大话，谎言，谎，谎话
mensogulo	骗子
mentono	下巴
menuo	菜单
merkato	市场，市
merkredo	礼拜三，三，星期三，周三
Merkuro	默丘利，水星
mesaĝo	讯息
metaforo	比喻，隐喻
metalo	金属
meteorito	陨石
meteoro	流星
meteoroido	流星体
meteorpluvo	流星雨
meti	放
metodo	方法
metroo	地下铁
mevo	海鸥
meza	中
mezaĝa	中年
mezaĝa viro	中年男子
mezfingro	中指
meznombra	平均
meztagmanĝi	吃午饭
meztagmanĝo	午饭
mi	我
mi bedaŭras	不好意思，抱歉
mi mem	我自己
mi tre bedaŭras	真不好意思，很抱歉
mia	我的…
mia propra	我自己的
mielmonato	蜜月
mieno	表情
migdalkukaĵo	杏仁饼，杏仁酥
migdalo	杏仁
migdalokula	有杏仁眼
migri	移民
mikroskopo	显微镜
mil	千，一千
miliardo	一十亿，十亿
miliono	一百万，百万
militĉaro	车
militistaro	陆军
militkrimulo	战犯
militmalliberulo	战俘
milito	战争，战
miloble	千倍
milono	千分之一
mimozfloro	含羞草
mimozo	含羞草
min	我
minaci	威胁
minaco	恐吓
Minerva	密涅瓦
Ming-dinastio	明朝
ministro	相
mino	地雷
Minotaŭro	米诺陶
minuto	分钟，分
miraklo	奇迹
miriga	令人吃惊
mirinda	精彩
miskompreni	误解
miskompreno	误会
mistera	神秘
misuzi	滥用
mitaro	神话
mito	神话
mitokondrio	线粒体，粒线体
mitologio	神话
modelo	模式
moderna	现代
modesta	谦虚
modo	语气
moki	嘲笑，笑
mola	软
mola histo	软组织
molaro	臼齿
molekula maso	分子量
molekulo	分子
molibdeno	钼
momente	一回儿
momento	时刻
monato	月
monbileto	钞票
monbiletujo	皮夹
Monda Banko	世界银行，国际复兴开发银行
Monda Organizaĵo pri Sano	世卫组织，世界卫生组织，世卫
mondfama	闻名世界
mondo	世界，世
monereta mono	零钱
monero	硬币
monkesto	保险箱
monludi	赌博
mono	金钱
monoftongo	单元音
monstro	怪物
monteto	山丘，小山
monto	山
montra fingro	食指
montra pronomo	指示代词，指示词
montri	给…看
montrofenestro	橱窗
monujo	钱包
moralo	道德
morfemo	基本词汇
morfologio	词法，形态，构词学
morgaŭ	明，明天
morti	去世
mortigi	杀死，杀
morto	死亡
mortpuno	死刑
morusarbo	桑树，桑
moskeo	清真寺
moskito	蚊，蚊子
motivo	动机
motorciklo	机车
movi	移动，活动
movlibero	活动的余地，活动的空间
movo	行动
mueldento	臼齿
muko	黏液
mulo	骡，骡子
multa	多
multaj	多
multĉelula	多细胞
multĉelula organismo	多细胞生物
multekosta	贵
multfoje	多次
multsignifa	很有意思
multspeca	多种
mumio	木乃伊
Munkena Interkonsento	慕尼黑协定
Munkena Konferenco	慕尼黑会议
murdi	谋杀
murdinto	凶手
muro	墙壁
murpapero	壁纸
muŝkaptilo de Venuso	捕蝇草
muskatarbo	肉豆蔻树
muskoj	苔类，苔，青苔，苔衣，苔藓
muskola histo	肌组织
muskola sistemo	肌肉系统
muskolo	肌，肌肉
muso	老鼠，鼠标器，鼠
muŝo	苍蝇，蝇
mustelo	黄鼠狼
muzeo	博物馆
muzikgrupo	乐队
muzikilo	乐器
muzikistaro	音乐团体
muzikisto	音乐家
muziko	乐，音乐
Muzoj	缪斯，诗歌女神缪斯姐妹
nacia himno	国歌
nacilingvo	民族语，母语
Nagario	天城文
naĝbaseno	游泳池
naĝi	游泳
naĝilo de ŝarko	鱼翅，翅
naiva	天真
najbara	隔壁
najbaro	邻居
najtingalo	夜莺
nana stelo	矮星
Nanĉango	南昌
Nankingo	南京
Nanningo	南宁
narcisfloro	水仙花
narciso	水仙花
Narciso	那西塞斯
naski	生，生下
naskiĝdato	出生日期
naskiĝfesto	生日宴会
naskiĝi	生，出生
naskiĝis	生于
naskiĝtago	生日
naskokanalo	产道
natrio	钠
natura	天然
naturdotita	有才能
naturo	自然
naŭ	九
naŭ mil	九千
naŭ miliardo	九十亿
naŭ miliono	九百万
naŭa	第九
naŭcent	九百
naŭcent mil	九十万
naŭcent miliono	九亿
naŭdek	九十
naŭdek du	九十二
naŭdek kvar	九十四
naŭdek kvin	九十五
naŭdek mil	九万
naŭdek miliono	九千万
naŭdek naŭ	九十九
naŭdek ok	九十八
naŭdek sep	九十七
naŭdek ses	九十六
naŭdek tri	九十三
naŭdek unu	九十一
naŭdeka	第九十
naŭfoje	九次
naŭoble	九倍
naŭono	九分之一
naŭza	恶心，恶
naza	鼻的，鼻音的
naza sinuso	鼻窦
nazia Germanio	纳粹德国
nazkataro	感冒
nazmuko	鼻涕
nazo	鼻，鼻子
nazradiko	鼻梁
naztruo	鼻孔
naztuko	手帕
ne	非，不了，不
ne dankinde	不谢，不用谢谢，不客气，不用谢
ne devus	不应该
ne dificila	不难
ne ekzisti	没有
ne estas permesita	严禁
ne esti	不是，没有
ne ĝenu min	别烦我
ne gravas	不要紧，没关系
ne havi	没有
ne malbona	不错
ne malbone	还好，不错
ne malfacila	不难
ne morala	不道德
ne nepre	未必，不一定，不见得，也不一定
ne nur	不只，不止，不但
ne nur... sed eĉ...	不但…还…
ne plu	不再
ne virta	不道德
ne voli	不要
ne ~u	别～，不要
Ne-Registara Organizaĵo	非政府组织
nea	消极
nea vorto	否定词
neatendita	想不到
nebulo	雾气
nebulozo	星云
neceseja papero	卫生纸
neceseja seĝo	马桶
necesejo	厕所
necesseĝo	马桶
necesujo	马桶
nedankinde	不谢，不用谢谢，不用谢，不客气
nedaŭra	暂时
nedeklinaciebla	词尾不变
nedeklinaciebla vorto	词尾不变词
nedifinita artikolo	不定词
neebla	不可能
neelparolata litero	不发音字母
neforgesebla	难忘
negativo	否定词
neĝbulo	雪球
neĝero	雪片，雪花
neĝhomo	雪人
neĝi	下雪
neĝo	雪
negocisto	商人
negoco	生意
nei	否认
nek	也不
nekredebla	不可思议
neleĝa	不合法，非法
nelonge	一回儿
nenia problemo	没问题
neniam	从没
neniu	谁都不，没有人，无人，没人，谁不
nenormala	不正常
neodimo	钕
neono	氖
neordinara	非常
nepra	绝对
nepre	必，一定，一定
nepre ne	一定不，决不
neptunio	镎
Neptuno	涅普顿，海王星
Neptuno I	海卫一
nerekta objekto	间接宾语
nerekta parolo	间接引语
nerva sistemo	神经系统
nervo	神经
neseksa	无性
netransitiva verbo	不及物动词
netuŝuminfloro	凤仙花
netuŝumino	凤仙花
neŭtra	中性
neŭtra genro	中性
neŭtra substantivo	中性名词
neŭtra vorto	中性词
neŭtrono	中子
neŭtronstelo	中子星
nevenkebla	无敌
ni	我们
ni ~u	不如
nia	我们的…
nia mem	我们自己
nia propra	我们自己的
nigra	黑色，黑
nigra humuro	黑色幽默
nigra tabulo	黑板
nigra truo	黑洞
nikelo	镍
nikotiano	烟草
nin	我们
Ningŝjao	宁，宁夏
niobo	铌
nitrogeno	氮
nivelo	程度
nobelio	锘
nocio	概念
nokto	夜晚，夜
noktomezo	午夜
nombro	数字，数
nomi	叫
nomiĝi	叫做，叫
nominativa kazo	主格
nominativo	主格
nomo	名，名字
nomo de Ĝingis-Ĥano	铁木真
nomumi	提名
Nord-Atlantika Traktat-Organizaĵo	北约，北约组织，北大西洋公约组织
norda cervo	驯鹿
Norda kaj Suda Dinastioj	南北朝
Norda Song-dinastio	北宋
nordo	北方
norma	普通，标准
normala	正常
normĉina	普通话，国语
noti	做笔记
notlibro	笔记本
noto	笔记，备忘录，成绩
nova	新
novaĵoj	新闻
novao	新星
novembro	十一月
nuba	多云
nubo	云
nuklea centralo	核能发电厂，核电厂，核电站
nuklea fendiĝo	核分裂
nuklea kunfandiĝo	核融合，核聚变
nuklea reakcio	核反应
nul	零，〇
nuligi	取消
numero	号码，号
nun	现在
nur	只，而已
Nurenberga proceso	纽伦堡审判
nutra	营养
oazo	绿洲
objektiva	客观
objekto	宾语
oblo	倍
observi	观察
obstina	固执，顽固
Odiseo	奥德修斯
ofendi	侮辱，冒犯
ofendiĝi	感到冒犯
oferi	牺牲，牲，牺
oficejo	办公室
oficiala	官，官方
oficista rango	官
oficisto	官
ofta	频繁的，经常的
ofte	常，常常
ok	八
ok mil	八千
ok miliardo	八十亿
ok miliono	八百万
oka	第八
okazaĵo	机会，事件
okaze	偶然，碰巧
okazi	发生
okazigi	导致，引起，使发生
okazo	机会
okcent	八百
okcent mil	八十万
okcent miliono	八亿
okcidenta	西方的，西边的，西部的
Okcidenta Ĝin-dinastio	西晋
okcidenta kulturo	西方文化
Okcidenta Ŝja-dinastio	西夏
okcidento	西方
okcipita lobo	枕叶
okdek	八十
okdek du	八十二
okdek kvar	八十四
okdek kvin	八十五
okdek mil	八万
okdek miliono	八千万
okdek naŭ	八十九
okdek ok	八十八
okdek sep	八十七
okdek ses	八十六
okdek tri	八十三
okdek unu	八十一
okdeka	第八十
okfoje	八次
okoble	八倍
okono	八分之一
okromarbo	西印度轻木
okromo	西印度轻木
oksigeno	氧
oktobro	十月
okulglobo	眼球
okulharo	睫，眼睫毛，睫毛
okulisto	眼科医生
okulkavo	眼窝
okulo	眼，睛，目，眼睛
okulumi	凝视，盯着看
okulvitroj	眼镜
okupata	没空，忙碌，忙
ol	比
Olimpikoj	奥运会，奥运
olivarbo	榄，橄，橄榄树
omaro	龙虾
ombrelo	雨伞
ombro	影，影子
ondego	巨浪
ondo	浪，波浪
onidiro	谣言
onomastiko	姓名学
onomatopeo	象声词
OPEL	油组
operacio	手术
operaciumo	操作系统
opero	歌剧
opinio	意见，看法
oportuna	方便
optika iluzio	光幻觉，光学幻觉，错视
optika nervo	视神经
optiko	光学
optimisma	乐观
ora	金
oranĝa	橘色
oranĝa stelo	橙星
oranĝarbo	橙，橙树
oranĝkolora	橘色
orbito	眼窝
orcino	虎鲸
orda	整洁
ordigi	整理
ordinara	平常，普通
ordoni	命令
ordono	命令
orela lobo	耳垂
orelkonko	耳廓，外耳
orellobo	耳垂
orelo	耳，耳朵
orelringo	耳环
orelvakso	耳垢
oretamburo	鼓膜
orfejo	孤儿院
Orfeo	俄尔甫斯
orfo	孤儿
organeto	细胞器
organika	有机
organismo	生物
organizaĵo	机构，组织
Organizaĵo de Petrol-Eksportaj Landoj	油组，石油输出国组织
Organizaĵo de UN por Edukado, Scienco kaj Kulturo	联合国教育科学文化组织
Organizaĵo por Ekonomia Kunlaboro kaj Evoluo	经济合作发展组织，经合发组织
Organizo de la Islama Konferenco	伊斯兰会议组织
organo	器官
Orienta Ĝin kaj la Deksesa-Reĝlandoj	东晋十六国
Orienta Ĝin-dinastio	东晋
orienta kulturo	东方文化
orientamerika larikarbo	美洲落叶松树，美洲落叶松
orientamerika lariko	美洲落叶松树，美洲落叶松
oriento	东方
oriento kaj nordo	东西
originala	独到
origine	本来
orkido	兰，兰花
orko	虎鲸
orkolora	金，金色
ornitorinko	鸭嘴兽
oro	金
Orostelo	金星
orpluvfloro	金链花
orpluvo	金链花
ortodoksismo	希腊正教
orvergo	秋麒麟草
oscedi	打哈欠
oscedo	哈欠
osmantarbo	桂花树
osmanto	桂花树
osmantofloro	桂花，桂
osmio	锇
osta histo	骨组织
osta medolo	骨髓，髓
ostaro	骷，髅，骨骼，骨架，骷髅
osto	骨头，骨
ostohisto	骨组织
ostro	牡蛎，蛎
ovodukto	输卵管
ovujo	卵巢
pacienca	有耐心
pacienco	耐心
packontrakto	和约
paco	和平，安
pafilego	炮
pagi	付钱，付给
paĝo	页
pajlo	稻草
pakaĵo	行李
paketo	包裹
pakvagono	行李车
paladio	钯
palindromo	回文
Palio	巴利语
palisandro	蔷薇树，花梨树，花梨木树，花梨木，黄檀树，蔷薇木，黄檀木
palmo	棕，棕榈，棕榈树，榈
palpebro	眼皮
palpi	摸，抓，触摸
palto	外套，大衣
pampelmusarbo	柚，柚树，柚子树
panarbo	木波罗树，面包果树，面包树，木波罗
pando	熊猫，猫熊
Pandora	潘多拉
panero	面包屑
paniko	恐慌
panisto	面包师傅
pankreaso	胰，胰脏
pano	面包
panrostilo	烤面包机
pansaĵo	绷带
pantalono	裤子
pantoflo	拖鞋
papago	鹉，鹦，鹦鹉
papajarbo	木瓜树
papavetfloro	虞美人花，虞美人
papaveto	虞美人，虞美人花
papavfloro	罂粟花
papavo	罂粟花
paperkorbo	废纸篓
papero	纸，纸张
papilio	蝶，蝴蝶，蝴
paragrafo	段，段落
paralela	平行
paraŝuto	降落伞
parazito	寄生物
pardoni	原谅
pardonon	对不起
pardonu min	很抱歉
parenca	亲
parencaro	亲戚
parenco	亲属，亲戚
parfumo	香水
parieta lobo	顶叶
Pariza Packonferenco	巴黎和会，巴黎和会
Pariza packontrakto	巴黎和约，巴黎和约
parkejo	停车场
parko	公园
parolado	演讲
parolas esperanton	讲世界语
paroli	说话，讲话，会
paroli esperante	说世界语，讲世界语
paroli esperanton	说世界语
parolilo	喇叭
parolo	语，言语，腔
participo	分词
partieco	偏见
partiklo	粒子
partikulo	助词
partio	政党，党，派对
Partio de Eŭropaj Socialdemokratoj	欧洲社会党
parto	部分
parto de parolo	词类
partopreni	参加
pasero	麻雀，雀
pasi	经过
pasinteco	过去
pasio	激情
pasiva	被动
pasiva participo	被动分词
pasiva voĉo	被动语态
pasivo	被动语态
paŝo	步调，步，脚步
pasporto	护照
patelo	膝盖骨
patriĉo kaj filiĉo	父子
patriĉo kaj filino	父女
patriĉofiliĉa	父子
patriĉofilina	父女
patrino kaj filiĉo	母子
patrino kaj filino	母女
patrino kaj filo	母子
patrinofila	母子
patrinofiliĉa	母子
patrinofilina	母女
patrio	故乡
patriota	爱国
patriotismo	爱国主义
patro kaj filino	父女
patro kaj filo	父子
patrofila	父子
patrofilina	父女
patroli	巡逻
paŭzi	休息
peco da papero	一张纸
pediko	虱
Pegazo	飞马
pego	啄木鸟
pejzaĝo	风景，景
Pekino	北京，京
pektoralo	胸大肌
pelargonifloro	天竺葵
pelargonio	天竺葵
pelikano	鹈，鹕，鹈鹕
pelvo	骨盆
penado	努力
pendumo	绞刑
peni	力图，试图，争取
peno	努力，力气
pensadi	思考
pensado	思想
pensi	觉得，想
pensi ke	认为
pensio	退休金，养老金
pensmaniero	想法
penso	念头
penti	忏悔
pentraĵo	画
pentri	画画
pentri pentraĵon	画画
pentristo	画家
peonifloro	牡丹，牡丹花
peonio	牡丹花，牡丹
peono	兵
per	用
pera	间接
peranto	经纪人
perdi	失，失去
perdiĝi	迷路
perfekta	完美
perfidi	背叛
perforta	暴力
perforto	暴力
perikardo	心包
Periodo de la Deksesa-Reĝlandoj	十六国
Periodo de la Orienta Ĝin kaj la Deksesa-Reĝlandoj	东晋十六国
Periodo de la Tri Reĝlandoj	三国时代，三国
permesilo	执照
persekutado	迫害
persekuti	迫害
Perseo	珀耳修斯，珀修斯
persikarbo	桃，桃树
persikfloro	桃花
persona	个人
persona pronomo	人称代词
personeco	个性
persono	人
pesilo	磅秤
pesimisma	悲观
petalo	瓣，花瓣
petola	淘气，胡闹
petolaĵo	恶作剧
petolema	调皮的，爱胡闹的
petoli	胡闹，捣蛋
petunifloro	矮牵牛花
petunio	矮牵牛花
peza	重
peza industrio	重工业
pezo	重量，体重
piano	钢琴
picearbo	云杉树，云杉
picejo	匹萨店，披萨店，比萨店
piceo	云杉，云杉树
pico	披萨，匹萨，比萨，比萨饼，披萨饼，匹萨饼
piedfingro	脚趾头，趾
piediranto	行人
piedo	足，脚
piedspuro	脚印，足迹
pika	辣的，有刺的，有倒钩的
pika gusto	辣味
pikdrato	铁丝网
pikilo	刺，倒钩
pikniko	野餐
pilgrimado al Mekao	麦加朝圣
Pilgrimo al la Okcidento	西游记
pilo	电池
pinarbo	松，松树
pinglo	别针
pingveno	企鹅
pino	松，松树
piramido	金字塔
pirarbo	梨，梨树
pirato	海盗
pistilo	雌蕊
pistilo de floro	雌蕊
pituitaria glando	脑垂腺
pivotradiko	直根，主根
pizo	豌豆
placento	胎盘
plaĉi	取悦
plaĉi al	喜欢
placo	广场
plafono	天花板
plaĝo	沙滩
plando	脚底
planedo	行星，星球，惑星
planko	地板
plano	计划
plantejo	农园
planto	植物
plasto	塑胶
platanarbo	悬铃木树，梧，梧桐，悬铃木，桐，梧桐树
platano	悬铃木树，梧桐树，悬铃木，桐，梧，梧桐
plateno	铂
platikodonfloro	僧帽花，铃铛花，桔梗
platikodono	桔梗花，桔梗，铃铛花，僧帽花
pledi	辨护
plej	最
plejparto	大多数，大部分
plena	满
plena da	充满了
plendi	抱怨
plendo	牢骚，怨言
plenkreska	成人
plenkreskulo	成人，大人
plenluno	满月
plezura	愉快
pli	比较，较，更
pli kaj pli	越来越
pli kaj pli bone	越来越好
pli malfrue	晚一点
pli malpli	差不多
pli multa	多一点
plia	额外
plialtigi	增加
plibonigi	改善
pliboniĝi	改进，变得更好
pliboniĝo	进步
plifortigi	增强
plimulta	更多
plimultigi	增加
pliposte	晚一点
plori	哭，流眼泪，哭泣，流泪
plorsalikarbo	垂柳，垂柳树
plorsaliko	垂柳，垂柳树
plu	多一点
plumbo	铅
plumo	羽毛，笔，羽
pluraj	多
plurala finaĵo	复数词尾
plurala pronomo	复数代名词，复数代词
pluralo	复数
plurjara	多年生
plurjara herbo	多年生草本
plutonio	钸，钚
Plutono	冥王星，普鲁托
pluvero	雨滴
pluvi	下雨
pluvmantelo	雨衣
pluvo	雨
poema	诗意
poemaro	诗集
poemo	诗歌
poeto	诗人
poezia	诗意
pojno	手腕，腕
polekso	大拇指
polemiko	争议
poleno	花粉
policano	警察，警察人员
policejo	警察局
policisto	警察，警察人员
polico	警察，警
politiko	政治，政策
polonio	钋
polpo	章鱼
polusa urso	北极熊
polvo	尘土，灰
polvoŝovelilo	畚箕
polvosuĉilo	吸尘器
pomarbo	苹，苹果树
poplarbo	白杨树，白杨
poplo	白杨树，白杨
popolkanto	民谣，民歌
popolo	人民，民
populara	流行，红
por	为了
pordego	门
Pordego de Ĉiela Paco	天安门广场
pordo	门户，门口，户，门
porko	豚，豕，猪
poro	毛孔
poŝdiskilo	随身听
poseda kazo	所有格
poseda pronomo	所有格代名词
posedaĵo	财产
posedi	拥有
posedo	所有格
poŝkasedilo	随身听
poŝlanterno	手电筒
poŝo	口袋
post	后，以后
poŝtaĵo	邮件
postbrako	膀
postdrinka kapdoloro	宿醉
poste	以后，然后
postebrio	宿醉
poŝtejo	邮局
poŝtisto	邮差
poŝtkarto	明信片
postkuri	追赶
poŝtmarko	邮票
poŝto	邮
poŝtoficejo	邮局
postparto de kolo	项
postpozicio	后置词
postsigno	线索
postsono	回声
posttagmezo	下午
poŝtuko	手帕
postuli	要求
postulo	要求
postvango	屁股
potencebla	潜在
potenciala	潜在
Potsdama Konferenco	波茨坦会议
povi	能，会，可以
poviga	潜在
Pozidono	波塞冬
pozitiva	积极
praavoj	祖先
praĉelo	干细胞
Praeksplodo	大爆炸
praktika	实际
prapatroj	祖先
prava	真实
pravi	说得对
prazeodimo	镨
precipe	尤其
predikato	述语，谓语，动词谓语
prefikso	字首，前缀
preĝi	祷告，礼拜
preĝo	祈祷
premi butonon	按电钮，按钮
premiiĝi	中奖
premo	压力，压强
premolaro	前臼齿
premsonĝo	噩梦，梦魇，恶梦，魇
preni	拿
preni la tutan respondecon	负全部责任
prepozicio	前置词，介词
presilo	打印机
preskaŭ	差点，几乎
preskaŭ nenio	几乎没有
preskaŭ neniu	几乎没有
preta	准备好了
preteksto	借口
preterita participo	过去分词
preterita tempo	过去式
pretiĝi	准备
pretigi	准备
pretpansaĵo	绷带
preventi	阻止
prezenca tempo	现在时
prezenti	介绍
prezidanto	总统
prezkonjekto	预算
prezo	价格
pri	关于
primoki	嘲笑
primolfloro	报春花，樱草花
primolo	樱草花，报春花
princino	公主
princo	王子
printempo	春，春天
pripensi	考虑
priskribi	形容
privata	私人，私
privateco	隐私
priverŝi	浇水，浇
prizorgi	照顾
pro tio	所以
probablo	机会率，概率，机率，或然率
problemo	问题，麻烦
procedi	进行
procedo	手续
procezo	过程
prociono	浣熊
produkti	产生
produkto	产品
profesia	职业
profesio	行业
profesoro	教授
profetaĵo	预言
profeto	先知
profito	利润
profunda	深
programaro	软件
programo	节目
progresi	进步
progreso	进步
prokarioto	原核生物
proksima	近
proksimaĵo	附近
proksimulo	邻居
proksimume	左右
promeni	散步
promesi	答应
promeso	承诺
Prometeo	普罗米修斯
prometio	钷
pronomo	代词，代名词
prononcmaniero	口音
prononco	发音
proponi	建议
propono	建议，提议
propozicio	从句，子句
propra	私人，私，自己的
propra nomo	专有名词
propraĵo	财产
propraokule	亲眼
propraokule vidi	亲眼看到
prospera	繁荣
prostato	摄护腺，前列腺
protaktinio	镤
proteino	蛋白质
protekti	保护
protestantismo	新教
protesti	抗议
proton	质子
provi	试，试图，尝试
provinco	省，省份
provizejo	仓库
provizi	提供
provizora	暂时
provizore	临时
provizumi	供应
provtubo	试管
prunarbo	李树，李
prunelarbo	黑刺李树，黑刺李
pruntedoni al	借给
pruntepreni libron	借书
pruntepreni monon	借钱
prunti al	借给
prunti libron	借书
prunti monon	借钱
prunto	贷款
pruvi	证明
pruvo	证据
psikologo	心理学家
publika	公用，公
publika telefono	公用电话
pugno	拳头，拳
pugo	屁股
pulma arterio	桡动脉，肺动脉
pulmo	肺脏，肺
pulo	蚤，跳蚤
pulsaro	脉冲星
pulso	脉搏
pulsostelo	脉冲星
pulvoro	粉末
pumo	美洲狮
puni	处罚
puno	惩罚
pupilo	瞳，瞳孔
pupo	傀儡
pura	干净
pura alkoholo	酒精
purigi	清洁
purpura	紫色，紫
puŝi	推
puŝo	推
puso	脓
puŝveturilo	手推车，独轮推车
puto	井
racieco	理性
racio	道理
radaro	雷达
radikalulo	激进分子
radiko	树根，根，词根
radio	收音机
radiumo	镭
radiuso	桡骨
radono	氡
rajdi sur ĉevalo	骑马
rajti	可，可以
rajto	权利
raketo	火箭
rakonti	告诉
rakontintrigo	剧情
rakonto	故事
Ramadano	斋戒月
ranido	蝌蚪，蝌，蚪
rano	蛙，青蛙
rapida	快
rapideco	速度
rapidi	赶
rapidi al	赶往，赶到
rapidvagonaro	快车
raporti	报导
raporto	报告
raŭpo	毛毛虫
re	再
reago	反映
reala	真，真正
realaĵo	现实
rebonigi	修理
red dwarf	红矮星
redaktisto	编辑
redaktoro	编辑
redoni	还给
refleksiva pronomo	反身代词
regi	控制
reĝino	女王
regiono	区
reĝisoro	导演
registaro	政府
reĝlando	王国
reĝo	王，国王，王
regulo	规则
reĝustigi	调整
reiri	回去
reiri hejmen	回家
reklamo	广告
rekomendi	推荐，荐
rekompenco	报酬
rekoni	辨认
rekordo	纪录
rekta	直接
rekta objekto	直接宾语
rekta parolo	直接引语
rektangulo	长方形
religio	宗教，教
rendevuo	约会
renio	铼
renkonti	见面，见，遇到，见面
renkontiĝi	见面
reno	肾脏，肾
repagi	偿还，还钱
reprezenti	代表
reprodukta organo	生殖器官，生殖器
reprodukta sistemo	生殖系统
reptilio	爬虫类
resanigi	医
resono	回声
respekti	尊重
respekto	尊敬
respondaparato	答录机
respondeca	负责
respondeci pri	负责，负责任，为…负责
respondeco	责任
respondeculo	负责人
respondi	回答
respondo	答案
restanta dento	恒齿
resti	留，留在，保持
restmono	零钱
restoracio	餐厅
retino	视网膜
reto	网络，网，络
retotaglibro	部落格，博客
retpaĝaro	网页
retpoŝt-adreso	伊妹儿地址，电子邮件地址，电邮地址
retpoŝto	电子邮件，电邮，伊妹儿
reveni	回来
revi	作白日梦
revidi	再见
revo	白日梦
revolucio	革命
revuo	杂志
rezino	树脂
rezisti	抵抗
rezona	合理
rezulto	结果
ribonukleata acido	核糖核酸
ribosomo	核糖体
riĉa	有钱
riĉeco	财富
ricevatesto	收据
ricevi	收到
ridado	笑声
rideti	微笑
rideto	笑容
ridi	乐，笑
ridiga	好笑
ridinda	可笑
ridmieno	笑脸
rifuĝinto	难民
rifuzi	拒绝
rigardi	看
rilato	关系
rimarki	注意
rimarkinda	值得注意，异常，非凡
rimedo	资源
ringa fingro	无名指
ringo	戒指
rinocero	犀，犀牛
ripari	修理
ripkaĝo	肋骨架
ripo	肋骨，肋
ripozi	休息
risorto	弹簧
rivero	河，江，河流，川
rizo	大米饭，饭，米，米饭，大米，稻米
rizokampo	稻田
rizomo	根状茎，根茎
rizvino	清酒
RNA	核糖核酸
robinio	洋槐树，刺槐，刺槐树
roboto	机器人
rodio	铑
roko	岩石
rolo	角色
romano	小说
romantika	浪漫
romia mitaro	罗马神话
romia mitologio	罗马神话
rompi	打破，弄坏，打碎，破坏
rompiĝema	易碎，脆弱
rompita	坏了，弄坏的，破碎的
rompŝtelisto	窃贼
rondo	圆形
ronĝulo	齧齿类
rosmaro	海象
rozfloro	玫瑰，玫瑰花，月季花，蔷薇，蔷，玫，蔷薇花，瑰
rozkolora	粉红色，粉，粉红
rozo	蔷，玫，玫瑰，蔷薇花，蔷薇，瑰，月季花，玫瑰花
rubando	丝带
rubidio	铷
ruboj	垃圾
rubujo	垃圾桶
rudbekifloro vila	黑心菊，黑心菊花，金光菊，金光菊花
rudbekio vila	金光菊，金光菊花，黑心菊花，黑心菊
